price,product_name,store_name
33699.0,"
      Холодильна камера Whirlpool ARG 18082 A++
    ","
              ALLO.ua
            "
42999.0,"
      Холодильник з морозильною камерою Liebherr CNbef 5723
    ","
              Liebherr-bt
            "
